item_code,brand,item_name,expected_quantity,unit_cost
30008,PRIME,PRIME TINY TOT 250ML CONTAINER,0,24.6
30009,PRIME,PRIME TINY TOT 400ML PTD CONTAINER,0,41.69
30010,PRIME,PRIME MUG 100 1L,0,40.2
30011,PRIME,PRIME TINY TOT 500ML CONTAINER,0,36.6
30013,PRIME,PRIME MUG JAGUAR 800 ML,3,42.61
30020,PRIME,PRIME MUG 150 1.5 L,0,55.2
30023,PRIME,PRIME TINY TOT 750ML CONTAINER,0,46.2
30026,PRIME,PRIME MUG JAGUAR 1250ML,3,60.9
30043,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,73.2
30050,PRIME,PRIME TINY TOT 1500ML CONTAINER,0,78.495
30059,PRIME,PRIME BUCKET STOREPLUS 5L,0,91.2
30069,PRIME,PRIME TINY TOT 2000ML CONTAINER,0,90
30070,PRIME,PRIME FROSTY BUCKET W/HANDLE 50,0,111
30073,PRIME,PRIME BUCKET STOREPLUS 7L,0,120
30084,PRIME,PRIME COOK N SERVE S,4,92.4
30097,PRIME,PRIME BREAD BOX,0,133.8
30103,PRIME,PRIME FROSTY BUCKET W/HANDLE 70,0,144
30105,PRIME,PRIME  TINY TOT 3000ML CONTAINER,0,131.4
30122,PRIME,PRIME TAWA L MICROWAVE,1,133.8
30125,PRIME,PRIME FROSTY BUCKET W/HANDLE 100,0,192
30129,PRIME,PRIME COOK N SERVE M,0,158.1
30136,PRIME,PRIME BREAD BOX JUMBO,1,190.8
30153,PRIME,PRIME FOOD SAVER 125 2PCS,1,197.4
30160,PRIME,PRIME COOK N SERVE L,0,215.4
30173,PRIME,PRIME HANGER HI FASHION,0,212.4
30178,PRIME,PRIME FROSTY BUCKET W/HANDLE 160,0,311.04
30185,PRIME,PRIME HANGER ROTARY,0,194.4
30193,FREELANCE,FRL VFM TABLE MAT PLASTIC,0,247.68
30207,PRIME,PRIME  TINY TOT 10000ML CONTAINER,0,297.59
30208,PRIME,PRIME FROSTY BUCKET W/HANDLE 200,0,331.7
30225,VINOD,VINOD ROYAL SERV DISH MINI,2,161.53
30243,PRIME,PRIME FROSTY BUCKET W/HANDLE 250,0,369
30248,PRIME,PRIME FROSTY BUCKET W/HANDLE-PTD 200,0,362.075
30250,PRIME,PRIME CONTAINER STOREWELL 10L,2,380.06
30256,VINOD,VINOD ROYAL SERV DISH ECONOMIC,1,218.68
30268,PRIME,PRIME HANGER STRIP,0,327.6
30276,PRIME,PRIME HANGER SWISS,0,383.5
30283,FREELANCE,FRL TABLE MAT PLASTIC FROSTED,0,352.83
30294,PRIME,PRIME FROSTY BUCKET W/HANDLE-PTD 250,0,396
30296,VINOD,VINOD ROYAL SERV DISH SMALL,2,235.2
30301,VINOD,VINOD LUNCH CARRIER 4CONTAINER W/WATER DISPENSOR,0,600
30306,PRIME,PRIME STOOL MAGNUM-501,0,468.9
30307,FREELANCE,FRL 54*78 RECT TC WO/L,2,482.555
30309,PRIME,PRIME CONTAINER STOREWELL 13L,0,407.395
30326,FREELANCE,FRL 60RND TC WO/L,0,459.61
30329,ANJALI,ANJALI PEELER GILETTO,0,39
30339,FREELANCE,FRL 60*90 RECT TC WO/L,0,560.45
30340,FREELANCE,FRL 54*78 OVAL TC WO/L,4,461.6875
30348,ANJALI,ANJALI SS PEELER 5,0,42
30349,PRIME,PRIME CONTAINER STOREWELL 17 L,0,517.8
30357,FREELANCE,FRL 54*78 OVAL TC WO/LA,2,419.4
30360,VINOD,VINOD ROYAL SERV DISH MEDIUM,2,330.4
30364,VINOD,VINOD BUTTER DISH,0,426.36
30369,ANJALI,ANJALI DLX-6 STAND GC02,0,117.01
30372,FREELANCE,FRL 60*90 OVAL TC WO/L,0,557.5666667
30374,ANJALI,ANJALI LEMON POPULAR,0,114.01
30375,ANJALI,ANJALI LEMON SQUEEZER L,0,58.29
30376,VINOD,VINOD ROYAL SERV DISHLARGE,0,380.36
30377,ANJALI,ANJALI SS PEELER NO.3 165,0,30
