item_code,barcode,brand,item_name,expected_quantity,unit_cost
30004,30004103171,N.G,AA ALU MUFFIN MOULD 9 PCS,0,170
30008,30008101181,PRIME,PRIME TINY TOT 250ML CONTAINER,0,21.88
30008,30008102161,PRIME,PRIME TINY TOT 250ML CONTAINER,0,20.29
30008,30008102171,PRIME,PRIME TINY TOT 250ML CONTAINER,0,20.29
30008,30008102211,PRIME,PRIME TINY TOT 250ML CONTAINER,1,24.6
30008,30008104151,PRIME,PRIME TINY TOT 250ML CONTAINER,0,20.29
30008,30008104191,PRIME,PRIME TINY TOT 250ML CONTAINER,0,23.75
30008,30008109161,PRIME,PRIME TINY TOT 250ML CONTAINER,0,20.29
30008,30008109212,PRIME,PRIME TINY TOT 250ML CONTAINER,0,28.2
30008,30008112181,PRIME,PRIME TINY TOT 250ML CONTAINER,0,23.75
30009,30009101201,PRIME,PRIME TINY TOT 400ML PTD CONTAINER,0,32.19
30009,30009102171,PRIME,PRIME TINY TOT 400ML PTD CONTAINER,0,27.27
30009,30009104151,PRIME,PRIME TINY TOT 400ML PTD CONTAINER,0,27.27
30009,30009106181,PRIME,PRIME TINY TOT 400ML PTD CONTAINER,0,32.19
30009,30009107151,PRIME,PRIME TINY TOT 400ML PTD CONTAINER,0,27.27
30010,30010102161,PRIME,PRIME MUG 100 1L,0,28.54
30010,30010102171,PRIME,PRIME MUG 100 1L,0,28.54
30010,30010102251,PRIME,PRIME MUG 100 1L,0,40.2
30010,30010105191,PRIME,PRIME MUG 100 1L,0,18.75
30010,30010105242,PRIME,PRIME MUG 100 1L,0,40.2
30010,30010106191,PRIME,PRIME MUG 100 1L,0,34.38
30010,30010106231,PRIME,PRIME MUG 100 1L,0,48
30010,30010107151,PRIME,PRIME MUG 100 1L,0,28.54
30010,30010107211,PRIME,PRIME MUG 100 1L,0,42
30010,30010107251,PRIME,PRIME MUG 100 1L,11,40.2
30010,30010109211,PRIME,PRIME MUG 100 1L,0,42
30010,30010109221,PRIME,PRIME MUG 100 1L,0,52.2
30010,30010110201,PRIME,PRIME MUG 100 1L,0,34.38
30011,30011101241,PRIME,PRIME TINY TOT 500ML CONTAINER,0,34.2
30011,30011102161,PRIME,PRIME TINY TOT 500ML CONTAINER,0,25.37
30011,30011102211,PRIME,PRIME TINY TOT 500ML CONTAINER,0,31.2
30011,30011104151,PRIME,PRIME TINY TOT 500ML CONTAINER,0,25.37
30011,30011104191,PRIME,PRIME TINY TOT 500ML CONTAINER,0,30
30011,30011106181,PRIME,PRIME TINY TOT 500ML CONTAINER,0,30
30011,30011107161,PRIME,PRIME TINY TOT 500ML CONTAINER,0,26
30011,30011108171,PRIME,PRIME TINY TOT 500ML CONTAINER,0,27.5
30011,30011112162,PRIME,PRIME TINY TOT 500ML CONTAINER,0,25.37
30011,30011112181,PRIME,PRIME TINY TOT 500ML CONTAINER,0,30
30011,30011112211,PRIME,PRIME TINY TOT 500ML CONTAINER,0,36
30016,30016104151,PEARL PET,PEARL PET 1L GEMINI 30MM,0,24.85
30017,30017104151,PEARL PET,PEARL PET 1L TULIP 17.59,0,24.85
30018,30018104151,PEARL PET,PEARL PET 1L VENUS 30MM,0,24.85
30020,3002006201,PRIME,PRIME MUG 150 1.5 L,0,25
30020,30020101181,PRIME,PRIME MUG 150 1.5 L,0,46.88
30020,30020101201,PRIME,PRIME MUG 150 1.5 L,0,25
30020,30020101251,PRIME,PRIME MUG 150 1.5 L,0,51.6
30020,30020102161,PRIME,PRIME MUG 150 1.5 L,0,41.22
30020,30020102171,PRIME,PRIME MUG 150 1.5 L,0,41.22
30020,30020103211,PRIME,PRIME MUG 150 1.5 L,0,57
30020,30020104211,PRIME,PRIME MUG 150 1.5 L,0,54
30020,30020104241,PRIME,PRIME MUG 150 1.5 L,0,51.6
30020,30020107151,PRIME,PRIME MUG 150 1.5 L,0,41.22
30020,30020107171,PRIME,PRIME MUG 150 1.5 L,0,43.75
30020,30020107221,PRIME,PRIME MUG 150 1.5 L,0,68.4
30020,30020107251,PRIME,PRIME MUG 150 1.5 L,2,51.6
30020,30020108171,PRIME,PRIME MUG 150 1.5 L,0,46.88
30020,30020109211,PRIME,PRIME MUG 150 1.5 L,0,54
30020,30020110201,PRIME,PRIME MUG 150 1.5 L,0,31.5
30020,30020112171,PRIME,PRIME MUG 150 1.5 L,0,46.88
30020,30020112211,PRIME,PRIME MUG 150 1.5 L,0,54
30023,30023102191,PRIME,PRIME TINY TOT 750ML CONTAINER,0,37.8
30023,30023104151,PRIME,PRIME TINY TOT 750ML CONTAINER,0,33.61
30023,30023107161,PRIME,PRIME TINY TOT 750ML CONTAINER,0,34.45
30023,30023107171,PRIME,PRIME TINY TOT 750ML CONTAINER,0,36.25
30023,30023108171,PRIME,PRIME TINY TOT 750ML CONTAINER,0,36.25
30023,30023109151,PRIME,PRIME TINY TOT 750ML CONTAINER,0,41.22
30023,30023109161,PRIME,PRIME TINY TOT 750ML CONTAINER,0,33.61
30023,30023109211,PRIME,PRIME TINY TOT 750ML CONTAINER,0,46.8
30023,30023111152,PRIME,PRIME TINY TOT 750ML CONTAINER,0,33.61
30023,30023112181,PRIME,PRIME TINY TOT 750ML CONTAINER,0,39.38
30026,30026101251,PRIME,PRIME MUG JAGUAR 1250ML,5,57
30026,30026103172,PRIME,PRIME MUG JAGUAR 1250ML,0,47.56
30026,30026104221,PRIME,PRIME MUG JAGUAR 1250ML,0,72
30026,30026105221,PRIME,PRIME MUG JAGUAR 1250ML,0,72
30026,30026105241,PRIME,PRIME MUG JAGUAR 1250ML,0,57
30026,30026107171,PRIME,PRIME MUG JAGUAR 1250ML,0,51.25
30026,30026108171,PRIME,PRIME MUG JAGUAR 1250ML,0,45
30026,30026108241,PRIME,PRIME MUG JAGUAR 1250ML,1,57
30026,30026109171,PRIME,PRIME MUG JAGUAR 1250ML,0,51.25
30026,30026109182,PRIME,PRIME MUG JAGUAR 1250ML,0,59.38
30026,30026109192,PRIME,PRIME MUG JAGUAR 1250ML,0,50
30026,30026109211,PRIME,PRIME MUG JAGUAR 1250ML,0,60
30026,30026110201,PRIME,PRIME MUG JAGUAR 1250ML,0,50
30026,30026112162,PRIME,PRIME MUG JAGUAR 1250ML,0,47.56
30026,30026112181,PRIME,PRIME MUG JAGUAR 1250ML,0,50
30026,30026112211,PRIME,PRIME MUG JAGUAR 1250ML,0,60
30026,30026112221,PRIME,PRIME MUG JAGUAR 1250ML,0,72
30027,30027104151,PEARL PET,PEARL PET 1L ANGEL 29.51,0,33.65
30028,30028104151,PEARL PET,PEARL PET 1L KOHINOOR 25.72,0,24.85
30029,30029104151,PEARL PET,PEARL PET 1L OPAL 24.95,0,24.85
30031,30031104151,PEARL PET,PEARL PET 1L TOPAZ 24.49,0,24.85
30043,3004306201,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,59.38
30043,30043101181,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,51.25
30043,30043101251,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,2,68.4
30043,30043102201,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,59.38
30043,30043102211,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,63
30043,30043103201,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,59.38
30043,30043103211,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,63
30043,30043103231,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,72
30043,30043104191,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,59.38
30043,30043106181,PRIME,PRIME MUG JAGUAR PRINTED 1250 ML,0,59.38
